"ID";"Reisender";"Titel";"Standort";"Stand";"Original";"Bearbeitungsvermerk";"Reisezeit";"KA";"KE";"Koordinaten";"Band"
408;Boppe, Auguste;"Boppe, Auguste: Le général de Morée et ses dépendances(Athènes,  Coron, Modon, Napoli de Romanie, Patras, Arta). In: Revue des études grecques XX, 1907. 
";Sym. ;1;1;0;;41;77;;0
409;Bordier, Julien;"Bordier, Julien: Relation d'un voyage en Orient, par Julien Bordier,  écuyer de Jean Contant, Baron de Salignac, Ambassadeur à Constantinople (1604-1612). Livre V. Paris 1888 (Athen 1934), 158p. , 
mit einem Stadtplan von Trepizond. 
";BayStBibl. München;2;1;0;;98;98;;0
410;Boré, Eugène;"Boré, Eugène: Correspondance et mémoires d'un voyageur en Orient.  2 Bde. Paris 1840, map. 
";MS UB 50: 5363;2;1;0;;255;0;;0
411;Boré, Eugène;"Boré, Eugène: Correspondance et mémoires d'un voyageur en Orient.  Bd. 1. Paris 1840, viiip. +454p. +1map. 
";MS UB 50 Okt 5363;2;1;0;;18;98;;1
412;Boré, Eugène;"Boré, Eugène: Correspondance et mémoires d'un voyageur en Orient.  Bd. 2. Paris 1840. 
";MS UB 50 Okt 5363;4;1;0;;255;0;;2
413;Borgo, Giovanni Battista de;Borgo, Giovanni Battista de: Viaggio di cinque anni In Asia, Africa et Europa del Turco di D. Giovanni Battista de Borgo, Abbate Clarense... Con la distinta descrittione delle Forze, Fortezze di detti paesi tanto in terra ferma com'anche di tutti in Porti di Mare, e ai tutte le Isole. Con la descrittione di Gierusalem, Gran Cairo,  Alessandria, Constantinopoli... 2 Bde. Mailand 1686, 548 u. 503p.  ;Röhricht 1180     ;1;1;2;;18;18;;0
414;Borrer, Dawson;"Borrer, Dawson: A journey from Naples to Jerusalem, by way of Athens,  Egypt, and the peninsula of Sinai, including a trip to the valley of Fayoum, together with a translation of M Linant de Bellefond's Mémoire sur le Lac Moeris. London 1845, xiv+579p. , map and tinted lithograph plates. 
";Gen: GT 1103 (I, 361;1;1;0;;55;58;;0
415;Borsum, Johann Friedrich Julius;"Borsum, Johann Friedrich Julius: Reise nach Konstantinopel, Palestina und Ägypten... Berlin 1950. 
";Tobler;1;1;0;;255;0;;0
416;Borthwick, Algernon;"Borthwick, Algernon: The cruise of the""Edeline"". Some sketches. London 1881, 78p. 
";Gen: GT 1169 (I, 814;1;1;1;;255;0;;0
417;Bos, Lambert van den;"Bos, Lambert van den: Lamberti Bos Antiquitatum Graecarum praecipue Atticarum descriptio brevis, cui testimonia e fontibus et quasdam observationes adiecit Jo. Frider. Leisnerus. Ed. nova prioribus auctior et emend. Lipsiae 1767, 272p. 
";MS UB 1 E 12681;4;2;0;;255;0;;0
418;Bos, Lambert van den;"Bos, Lambert van den: Antiquities of Greece, with the notes of Frederick Leisner. London 1772. 
";Sym. ;4;3;0;;255;0;;0
419;Boschini, M;Boschini, M: L'Arcipelago con tutte le isoli, scogli secchi, e bassi fondi, con i mare, golfi, seni etc. Venedig 1658, 101p. , zahlr. Karten.  ;Königstein, 45;1;1;0;;255;0;;0
420;Bosse, Robert;"Bosse, Robert: Eine Dienstreise nach dem Orient. Erinnerungen von Staatsminister Dr. R. Bosse. Leipzig 1900, 208p. 
";UB Bonn N 89/ 430;2;1;0;;58;58;;0
421;Bosset, Charles Philippe de;"Bosset, Charles Philippe de: Parga and the Ionian Islands; comprehending a reputation of the mis-statements of Quarterly Review and of Lieut. -Gen. Sir Thomas Maitland, on the subject; with a report of the trial between that offzier and the author. London 1821. 
";Reddemann         ;1;1;2;;38;38;;0
422;Boucher, Père;"Boucher, Père: Bouquet sacré composée de plus belles fleures de la Terre Sainte. Paris 1620. 
";Hemmerdinger;1;1;0;;255;0;;0
423;Boué, Ami;"Boué, Ami: Recueil d'Itinéraires dans la Turquie d'Europe. Détails Géographique, topographique et statisque sul cet empire. 2 Bde.  Wien 1854. 
";UB Bonn;2;1;0;;255;0;;0
424;Boué, Ami;"Boué, Ami: Recueil d'Itinéraires dans la Turquie d'Europe. Détails Géographique, topographiques et statisque sul cet empire. 1. Bd.  Wien 1854, 352p. 
";UB Bonn;2;1;0;;11;22;;1
425;Boué, Ami;"Boué, Ami: Recueil d'Itinéraires dans la Turquie d'Europe. Détails Géographique, topographiques et statisque sul cet empire. 2. Bd.  Wien 1854, 352p. 
";UB Bonn;2;1;0;;23;35;;2
426;Boullaye-le-Gouz, la;"Boullaye-le-Gouz, la: Les voyages et observations du sieur de la Boullaye-le-Gouz, gentilhomme angevin, où sont décrites les gouvernements d'Italie, de la Grèce, Palestine, Indes, Arabie, Egypte,  Hollands, Grande Bretagne.... Paris 1653 u. 1657, Troyes 1657, 510p. + many illustrations. 
";BSB München       ;1;1;8;;255;0;;0
427;Boullier, Eugène;"Boullier, Eugène: Lettres d'un pélerin de Jérusalem: journal d'un voyage en Orient. Laval 1854, 255p. 
";Gen: GT 3791 (I, 477;1;1;1;;18;85;;0
428;Boulogne, Luc de;Boulogne, Luc de: Voyage de Paris à Constantinople, de Constantinople à Jérusalem, et de tous les lieux saints. Retour de Jérusalem à Constantinople, description de cette ville et du sérail, de la réligion mahométane, et du retour de Constantinople à Paris. Paris 1840.  ;Röhricht 1386     ;1;1;4;;18;18;;0
429;Bourquelot, Félix;"Bourquelot, Félix: Constantinople in 1861: fragment d'un journal de voyage par Felix Bourquelot. In: Bulletin de la Société d'archéologie, science, lettres et arts du département de Seine et-Marne.  Meaux 1867, 48p. 
";Gen: GT 921 (I, 653);1;1;1;;18;18;;0
430;Bourquelot, Émile;"Bourquelot, Émile: Promenades en Égypte et à Constantinople. Paris 1886, 442p. 
";Gen: GT 1679 (I, 873;1;1;1;;18;58;;0
431;Bouzzanessi, Denis;"Bouzzanessi, Denis: Discours sur les moeurs des habitants des isles Ioniennes. Zante 1810. 
";Sym.              ;1;1;4;;255;0;;0
432;Bovet, Marie Anne de;"Bovet, Marie Anne de: La jeune Grèce. Paris 1897, xvi+301p. 
";Gen: GT1406. 1(I, 10;1;1;1;;31;67;;0
433;Bowen, George Ferguson;"Bowen, George Ferguson: Mount Athos, Thessaly, and Epirus: a diary of a journey from Constantinople to Corfu. London 1852, vii+253p. 
";Kopie HilanG;3;1;0;;18;41;;0
434;Bowen, George Ferguson;"Bowen, George Ferguson: Ithaca. Corcyra 1850, vii+55p. 
";SB PK Berlin Uh 8670;4;1;0;;255;0;;0
435;Bracebridge, Mrs.;"Bracebridge, Mrs.: Notes descriptive of a panoramic sketch of Athens taken May, 1839 (sketched from nature and on zinc). Sold in aid of the funds of the London Benevolent Depository. London 1839, 8 p. and plan, 8''mal 9'mounted on linen. 
";Gen: GT 2215 (I, 112;1;1;1;;55;58;;0
436;Braconnier, Père;"Braconnier, Père: Mémoires pour servir l'histoire des monastères de Mont Athos, par le père Braconnier, Jésuite. Paris o. J. 
";Sym.              ;1;1;4;;29;29;;0
437;Braconnier, Père;Braconnier, Père: Relation d'une mission qu'un père de la Compagnie (de Jésus, le père Braconnier) a fait à la Cavalle et dans l'isle de Thasos, avec la description du voyage, l'an 1707. Paris o. J.  ;Sym.              ;1;1;4;;20;23;;0
438;Braconnier, Père;"Braconnier, Père: Nouveaux mémoires des missions de la Compagnie de Jésus dans le Levant. Relation de l'établissement et de progrés de la mission de Thessalonique. Paris 1755. 
";Sym.              ;1;1;1;;23;23;;0
439;Bramsen, John;"Bramsen, John: Travels in Egypt, Syria, Cyprus, the Morea, Greece, Italy,  etc. in a series of letters, interspersed with anecdotes of distinguished persons and illustrations of political occurrences.  2 Bde. , 2. Aufl. , London 1820. 
1. Aufl.: London 1814. 
";Gen: GT 1017 (I, 84);1;1;1;;31;83;;0
440;Bramsen, John;"Bramsen, John: Promenade d'un voyageur prussien en Europe, Asie et Afrique en 1813, 1814 et 1815. 2 Bde. Paris 1818. 
";StLaBibl. Göttingen;2;1;0;;255;0;;0
441;Bramsen, John;"Bramsen, John: Reise durch die Ionischen Inseln, Aegypten, Syrien,  Palestina und Griechenland in den Jahren 1814 und 1815. Jena 1819,  198p. 
";Fr UB 6545m;3;1;0;;55;67;;0
442;Bramsen, John;"Bramsen, John: Promenade d'un voyageur prussien en Europe, Asie et Afrique en 1813, 1814 et 1815. 1. Bd. Paris 1818, 336p. 
";StLaBibl. Göttingen;2;1;0;;57;81;;1
443;Bramsen, John;"Bramsen, John: Promenade d'un voyageur prussien en Europe, Asie et Afrique en 1813, 1814 et 1815. 2. Bd. Paris 1818, 396p. 
";StLaBibl. Göttingen;2;1;0;;31;90;;2
444;Brandes, Heinrich Karl;"Brandes, Heinrich Karl: Ausflug nach Mehadia, Konstantinopel, Brussa  und der Stätte von Ilium im Sommer 1862. Detmold 1863. 
";BLC;1;1;0;;255;0;;0
445;Brandes, Heinrich Karl;"Brandes, Heinrich Karl: Ausflug nach Griechenland im Sommer 1860.  Lemgo/ Detmold 1861, 172p. 
";Lipp. LB K 786;2;1;0;;35;61;;0
446;Brandis, Christian August;"Brandis, Christian August: Mittheilungen über Griechenland. I. Reiseskizzen. II. Zur Geschichte des Befreiungskrieges nach griechischen Quellen. III. Blick auf den gegenwärtigen Zustand des Königreiches.  3 Bde. Leipzig 1842. 
";MS UB 46: 1117/ Euti;2;1;0;;255;0;;0
447;Brandis, Christian August;"Brandis, Christian August: Mitheilungen über Griechenland. Bd. 1: Reiseskizzen. Leipzig 1842. 377p. 
";MS UB 46 Okt 117;3;1;0;;41;65;;1
448;Brandis, Christian August;"Brandis, Christian August: Mittheilungen über Griechenland. Bd. 2: Zur Geschichte des Befreiungskrieges nach griechischen Quellen. 
Leipzig 1842. 
";MS UB 46: 1117/ Euti;4;1;0;;255;0;;2
449;Brandis, Christian August;"Brandis, Christian August: Mittheilungen über Griechenland. Bd. 3:  Blick auf den gegenwärtigen Zustand des Königreiches. 
Leipzig 1842. 
";MS UB 46: 1117/ Euti;4;1;0;;255;0;;3
450;Brandt, Paul;"Brandt, Paul: Von Athen zum Tempethal: Reiseerinnerungen aus
Griechenland. Gütersloh 1894, 102p. plate, map and 24 illustrations.  ";Kopie HilanG Ld23a;3;1;0;;35;61;;0
451;Brassey, Annie;"Brassey, Annie: Sunshine and storm in the East, or, Cruise to Cyprus and Constantinople. With upwards of 100 illustrations chiefly from drawings by the Hon. A. Y. Bingham. London 1880, xx+448p. , frontispiece,  engraved title-page, 2 maps. 
";UB Konstanz N68. 514;2;2;0;;18;99;;0
452;Brassey, Annie;"Brassey, Annie: A voyage in the ""sunbeam"", our home on the ocean for 11 months. 2 Bde. Leipzig 1879. 
(= Collection of British authors). 
";MS UB Z150-1806. 180;4;2;0;;255;0;;0
453;Brassey, Annie;"Brassey, Annie: Voyage d'une famille à travers la Méditerranée, à bord de son yacht le ""Sunbeam"", raconté par la Mère, traduit de l' anglais par J. Butler. Ouvrage illustré de 130 desseins, par Hon. A. Y.  Bingham, et de 2 cartes en couleur. Paris 1881, x+318p. 
";Gen: GT 1168 (I, 808;1;3;0;;255;0;;0
454;Brassey, Annie;"Brassey, Annie: Eine Familienreise von 14000 Meilen in die Tropen und durch die Regionen der Passate. Ausgeführt und geschildert von Lady Annie Brassey. Frei übers. v. Anna Helms. Leipzig 1885, 345p. , 290 Ill. , 7 Karten. 
";FFB Donaueschingen;4;3;0;;255;0;;0
455;Braun, J. M.;"Braun, J. M.: Historische und malerische Wanderungen in Griechenland.  Kriegs-und Reiseszenen aus dem 19. Jh. 3 Abt. Stuttgart 1837, 200+176+67p. , 12 Stahlstichtaf. 
";MS UB 1E13821;4;1;0;;255;0;;0
456;Braun, Karl;"Braun, Karl: Reiseeindrücke aus dem Südosten. Ungarn, Italien, Dalmatien, Montenegro, Griechenland, Türkei. 3 Bde. Stuttgart 1878. 
";BLC;1;1;0;;255;0;;0
457;Braun-Wiesbaden, Karl;Braun-Wiesbaden, Karl: Eine türkische Reise. 3 Bde. Stuttgart 1876/ 7.  ;UuStB Köln;2;1;0;;255;0;;0
458;Braun-Wiesbaden, Karl;"Braun-Wiesbaden, Karl: Eine türkische Reise. Bd. 1: Die Donau-Serbien--Rumänien. Stuttgart 1876, viii+495p. 
";UuStB Köln;4;1;0;;255;0;;1
459;Braun-Wiesbaden, Karl;"Braun-Wiesbaden, Karl: Eine türkische Reise. Bd. 2: Fragmente aus der Türkei. Stuttgart 1876, xv+459p. 
";UuStB Köln;2;1;0;;18;26;;2
460;Braun-Wiesbaden, Karl;"Braun-Wiesbaden, Karl: Eine türkische Reise. Bd. 3: Fragmente aus der Türkei. Stuttgart 1877, xii+397p. 
";UuStB Köln;4;1;0;;255;0;;3
461;Brayley Hodgetts, E. A.;"Brayley Hodgetts, E. A.: Round about Armenia, the record of a journey across the Balkans through Turkey, the Caucasus, and Persia in 1895.  London 1896, xii + 296p. 
";StBibl. Berlin;2;1;0;;18;98;;0
462;Bréhier, Julie Delafaye;"Bréhier, Julie Delafaye: Petit voyageur en Grèce, ou Lettres du jeune Evariste et sa familie. 1. Bd. Paris 1825, 174p. 
";GHS Kassel;4;2;0;;255;0;;1
463;Bréhier, Julie Delafaye;"Bréhier, Julie Delafaye: Petit voyageur en Grèce, ou Lettres du jeune Euariste et de sa famille. 4 Vol. in 2. Paris 1825, avec seize jolies gravures. 
";Gen: GT 1365. 1(I, 1;4;2;0;;255;0;;0
464;Bréhier, Julie Delafaye;"Bréhier, Julie Delafaye: Der kleine Reisende nach Griechenland, oder Briefe des jungen Euarist und seiner Familie. Aus dem Französischen von G. H. Zehner. 3 Bde. Hanau 1828. 
";"";4;3;0;;255;0;;0
465;Bremer, Frederika;"Bremer, Frederika: In Athens today. In: St. James's Magazine, Aug. 1861,  35-42. 
";Gen: GT 905 (I, 582);1;1;0;;55;58;;0
466;Bremer, Frederika;"Bremer, Frederika: Greece and the Greeks; the narrative of a winter residence and summer travel in Greece and its islands. 2 Bde. London 1863. Übersetzung aus dem Deutschen von Mary Howitt. 
";Gen: GT 1348 (I, 608;1;3;1;;32;78;;0
467;Brenner, Ignatz von;"Brenner, Ignatz von: Ausflug von Konstantinopel nach Brussa in Kleinasien im Jahre 1793. Wien, Triest 1808, 102p, folding frontispiece. 
";StBibl. Berlin;2;1;0;;18;31;;0
468;Brenner, M. J. de;"Brenner, M. J. de: Excursion de Constantinopel à Pruse dans l'Asie Mineure 1800. In: Annales des voyages, de la de géographie et
l'histoire, hrsg. von C. Malte-Brun. Bd. VI, Paris 1809, 110-118.  ";UB Berlin;2;3;0;;18;31;;0
469;Breton, Ernest;"Breton, Ernest: Du Pirée à la Corne d'or: notes de voyage par Ernest Breton. In: L'Investigateur, Journal de l'Institut historique de France, 1859; Extrait: Saint-Germain-en-Laye 1862, 11p. 
";Gen: GT 921 (I, 596);1;1;1;;52;65;;0
470;Breton, Ernest;Breton, Ernest: Un Dimanche à Constantinople. In: L'Investigateur.  Journal de l'Institut historique. IV. Ser. Bd. 3. Paris 1863, 100-109.  ;Kopie HILANG;2;1;0;;18;18;;0
471;Breton, Ernest;Breton, Ernest: Quatre jours dans le Péloponèse. In: L'Investigateur.  Journal de l'Institut historique. III. Ser. Bd. 10. Paris 1860, 129-137.  ;Kopie HILANG;2;1;0;;55;58;;0
472;Breton, Ernest;"Breton, Ernest: Athènes... , suivie d'un voyage dans le Péloponèse. Paris 1862. 2. Aufl. 1868. 374p. , zahlr. Abb. 
";BSB München H. Gr. 4;2;1;0;;55;64;;0
473;Breuning, Hanss Jakob;Breuning, Hanss Jakob: Orientalische Reyß deß edlen unnd besten Hanns Jakob Breuning von und zu Buochenbach so er selbander in der Türckey under deß Türckischen Sultans Jurisdiction und Gebiet so wol in Europa als Asia und Africa ohn einig Cuchium oder Frey--Gleit, benantlich in Griechenland, Egypten, Arabien, Palestina, das Heylige Gelobte Land und Syrien... Strassburg 1612, 289p, index, illu.  ;Gen: GT 457 (II, 200;2;1;0;;18;98;;0
474;Breuning, Hans Jacob;"Breuning, Hans Jacob: Orientalische Reyß des Edlen und Besten, Hanß Jacob Breüning, von und zu Buochenbach, so er selb ander in der Türkei... so wol in Europa als Asia vnnd Africa ohn einig Cuchium oder Freygleit, benantlich in Griechenland, Egypten, Arabien, Palestina, das Heylige Gelobte Land vnd Syrien, nicht ohne sondere grosse Gefahr,  vor dieser zeit verrichtet. Straßburg 1639, 299p. , Abb. 
";Reddemann;2;1;0;;18;98;;0
475;Breves, de;"Breves, de: Relation des voyages de Monsieur de Breves, tant en Grèce Terre Saincte, et Aegypte, qu'aux royaumes de Tunis & Arger; ensemble un traicté faict l'an 1604, entre Roy Henry le Grand & l'Empereur des Turcs, et trois discours dudit Sieur, le tout recueilly par le S. D. C. (Sieur du Castel). Paris 1628, xxviii+383+47+34+26+47p.  ";Gen: GT 498 (II, 240;1;1;2;;18;18;;0
476;Breydenbach, Bernhard von;Breydenbach, Bernhard von: Les Saintes Pérégrinations de Bernhard de Breydenbach. Texte et traduction annoté par F. Larrivaz. Kairo 1904.  ;Piloti;1;3;0;;255;0;;0
477;Briano, Giorgio;"Briano, Giorgio: La Siria e l'Asie Minore illustrate da 120 finissimi intagli e novellamente descritte secondo le piu recenti ed accreditate opere inglesi e francesci. 2 Bde. Torino 1841. 
";Röhricht 2084     ;1;1;2;;255;0;;0
478;Briemle, Vincent;Briemle, Vincent: Die durch die drei Theile der Welt, Europa, Asia und Africa, Besonders in denselben nach Loretto, Rom, Monte Cassino, nicht minder Jerusalem, Bethlehem, Nazareth, Berg Sinai ect. und andere heilige Oerter des gelobten Landes angestellte andächtige Pilgerfahrt ... Aus eigener Erfahrung durch achtzehn-jährige mühesame verrichtete Reisen zu seiner Privat-Ergötzung... Frankfurt a. M. 1727, 550p.  ;Röhricht 1315     ;1;2;1;;255;0;;0
479;Brindesi, Jean;"Brindesi, Jean: Souvenirs de Constantinople. Paris o. J. , 
20 colored plates, lithograph title-page. 
";GT2489. 1(I, 1155)  ;1;1;2;;18;18;;0
480;Brocardus, Wilhelmus Adam;"Brocardus, Wilhelmus Adam: Directiorium ad faciendum passagium transmarinum, hrsg. von C. R. Beazley. In: American Historical Review 12, 1906-05, 810-857; 13, 1907-1908, 66-115. 
";MS UB ZD 1943-12;4;1;0;;255;0;;0
481;Brockhaus, Heinrich;"Brockhaus, Heinrich: Die Kunst in den Athos-Klöstern. Leipzig 1891,  xi+305p. , 19 Text-Abbildungen, 1 Karte, 7 lithographierte, 23 Lichtdrucktafeln. 
";MS UB 4k*1 371;2;2;0;;26;29;;0
482;Brocklebank, John;"Brocklebank, John: Continental and Oriental Travels ... London (? ) 1865. 
";Tobler;1;1;0;;255;0;;0
483;Brodérie, la;"Brodérie, la: Le discours du voyage de Constantinople, envoyé au dict lieu à une Damoyselle Françoyse. Lyon 1542. 
";Sym.              ;1;1;4;;18;18;;0
484;Bröndsted, Peter Olaf;"Bröndsted, Peter Olaf: Über den Aufsatz im ""Hermes"" unter dem Titel ""Villoison Bröndsted, ein Beitrag zur Geschichte der Plagiate"", lies ""Ein Beitrag zur Geschichte der Pasquille""... Paris und Stuttgart 1830, [ii]+72p. 
";Gen: GT 1776 (I, 140;1;1;7;;255;0;;0
485;Bröndsted, Peter Olaf;"Bröndsted, Peter Olaf: Reisen und Untersuchungen in Griechenland.  Nebst Darstellungen u. Erklärungen vieler neuentdeckter Denkmäler griech. Stils. in 8 Büchern. Paris 1826-30. 
";MS UB 2k*1 890;2;1;0;;61;61;;0
486;Bröndsted, Peter Olaf;"Bröndsted, Peter Olaf: Voyages dans la Grèce. Accompagnés de recherches archéologiques. Paris 1826, 129 p. 
";BO Fu. 69/ 8194;2;1;0;;61;61;;0
487;Bröndsted, Peter Olaf;"Bröndsted, Peter Olaf: Voyage dans la Grèce accompagnés de recherches archéologiques, et suivis d'un aperçu sur toutes les entreprises scientifiques qui ont eu lieu en Grèce depuis Pausanias jusqu'à nos jours; ouvrage en huit livraisons, orné d'un grand nombre de monuments inédits, récemment découverts, ainsi que de cartes et ... Paris 1826, xx+314p. , 61 plates. Weitere Aufl.: Paris 1830.  ";Bad. Lan. Bibl. ;2;1;0;;61;61;;0
488;Bröndsted, Peter Olaf;"Bröndsted, Peter Olaf: Reise i Graekenland i Aarene 1810-1813. Udgivet af N. V. Dorph. 2 Dele. Kopenhagen 1844. 
";Engelmann S. 535;2;1;0;;61;61;;0
489;Bröndsted, Peter Olaf;"Bröndsted, Peter Olaf: Reisen und Untersuchungen in Griechenland,  nebst Darstellungen und Erklärungen vieler neuentdeckter Denkmäler Griechischen Styls, und einer kritischen Übersicht aller Unternehmungen dieser Art, von Pausanias bis auf unsere Zeiten. 8 Bücher,  Seiner Majestät dem Könige von Dänemark gewidmet das 1. +2. Buch.  Stuttgart 1830. 
";Engelmann, S. 535;2;1;0;;61;61;;0
490;Bröndsted, Peter Olaf;"Bröndsted, Peter Olaf: Reisen und Untersuchungen in Griechenland,  nebst Darstellungen und Erklärungen vieler neuentdeckter Denkmäler griechischen Styls, und einer kritischen Übersicht aller Unternehmungen dieser Art von Pausanias bis auf unsere Zeiten. 
Bd 1. Paris 1826. 
";MS UB 2 *k *1890;2;3;0;;61;61;;1
491;Brönsted;"Brönsted: Siehe Bröndsted
";"";5;1;0;;255;0;;0
492;Bronzetti, C. J.;"Bronzetti, C. J.: Erinnerungen an Griechenland aus den Jahren 1832--1835. Würzburg 1842, iv+260p. , frontispec. 
";Kopie MF HilanG Lc12;3;2;0;;31;64;;0
493;Broquière, Betrandon de la;"Broquière, Betrandon de la: Voyage d'Outremer de Bertrandon de la Broquière, premier ecuyer tranchant et conseilleur de Philippe le Bon, Duc de Bourgogne, publié et annoté par Ch. Schefer. Paris 1892,  lxxviii+323p. 
(= Recueil de voyages et de documents pour servir à l'histoire de la géographie, Bd. xii). 
";UB Gött. Itin I 5389;2;1;0;;14;31;;0
494;Broquière, Bertrandon de la;"Broquière, Bertrandon de la: Voyage d'outre-mer et retour de Jérusalem en France par la voie de terre pendant les années 1432 et 1433 par Bertrandon de la Brocquière... par Legrand d'Aussy. In: Mém.  de l'Institut Nation. , Science Morales V, Paris 1804, 422-69 (Einleitung), 469-637 (Text). 
";Röhricht 299;1;2;0;;14;31;;0
495;Broquière, Bertrandon de la;Broquière, Bertrandon de la: The travels of Bertrandon de La Broquière, Counsellor and first Esquire-Carver to Philippe le Bon, Duke of Burgundy, to Palestine, and his return from Jerusalem overland to France, during the years 1432 & 1433. Extracted and put into modern French. Translated by Thomas Johnes. Hafod 1807, 366p. , map and plate.  ;Gen: GT 422 (II, 108;1;3;0;;14;31;;0
496;Broughton, Lord;"Broughton, Lord: Siehe Hobhouse, John Cam. 
";"";5;1;0;;255;0;;0
497;Broughton, (John Cam. Hobhouse);"Broughton, (John Cam. Hobhouse): Travels in Albania and other provinces of Turkey in 1809 and 1810. 2 Bde. New edition. London 1855, 15 plates and maps. 
1. Aufl.: 1813. 
";Gen: GT 1302 (I, 506;1;1;0;;32;41;;0
498;Broutta, A;"Broutta, A: Une course à Athènes. In: Journal d'un voyageur en Valachie et à Constantinople. Juin, Juillet et Août 1857. Versailles 1858,  44p. 
";Gen: GT 1140 (I, 553;1;1;4;;55;58;;0
499;Brown, Edward;"Brown, Edward: A brief account of some travels in Hungaria, Servia,  Bulgaria, Macedonia, Thessaly, Austria, Styria, Carinthia, Carniola,  and Friuli,... with some observations on the gold, silver, copper,  quicksilver mines, baths, and mineral waters in those parts: with the figures of some habits and remarkable places. 2. Aufl. London 1685,  xx+222p. , table, many plates. 
";Gen: GT 561 (II, 354;2;1;0;;3;6;;0
500;Brown, Edward;"Brown, Edward: A brief account of some travels in Hungaria, Servia,  Bulgaria, Macedonia, Thessaly, Austria, Styria, Carinthia, Carniola,  and Friuli, as also some observations on the gold, silver, copper,  quicksilver mines, baths, and mineral waters in those parts: with the figures of some habits and remarkable places. London 1673, viii+144p. ,  many engraved illustrations. 
";Gen: GT 560 (II, 353;2;2;0;;3;6;;0
501;Brown, Edward;"Brown, Edward: Relation de plusieurs voyages faits en Hongrie, Servie etc. enrichie de plusieurs observations très curieuses.... Traduit de l'Anglois du Sieur Edouart Brown. Paris 1674, 4+208p. , engraved frontispiece and illustrations. 
";Gen: GT 562 (II, 355;2;3;0;;3;6;;0
502;Brown, Edward;"Brown, Edward: Auf genehmgehaltenes Gutachten und Veranlassung der königl. Engell. Medicinischen Gesellschaft in London durch Niederland, Teutschland, Hungarn, Servien, Bulgarien, Macedonien, Thessalien,  Österreich, Steurmark, Kärnthen, Carniolen, Friaul, etc. gethane ganz sonderbare Reisen. Nürnberg 1711. Holländ. Ausgabe: 1682, 1. dt. Ausgabe:  Nürnberg 1686, 14+334, 12p. Register. 
";Grieb/ Eutin;2;3;0;;3;6;;0
503;Brown, William George;"Brown, William George: Journey from Constantinople through Asia Minor, in the year 1802 (Walpole's Travels in various countries of the East)... London 1820. 
";Sym.              ;1;1;4;;18;18;;0
504;Browne, John Ross;"Browne, John Ross: Yusuf, or, The journey of the Frangi. A crusade in the East. London 1853, xxii+421p. , frontispiece and 39 illustrations the text. 
";MS Eng. Sem. MF;1;1;0;;18;58;;0
505;Bruce, Thomas;"Bruce, Thomas: Memorandum of the subject of the Earl of Elgins poursuit in Greece. London 1811. 
2. Aufl.: 1815. 
(extract in: The British Review and London critical Journal) ";MS MF Engl. Sem. ;4;1;0;;255;0;;0
506;Brue, Benjamin;"Brue, Benjamin: Journal de la Campagne que le Grand Vesir Ali Pascha a faite en 1715 pour la conquête de la Morée par Benjamin Brue interprète de roi près la Porte Ottomane. Paris 1870. 
";Sym. ;2;1;0;;61;61;;0
507;Brugsch, Heinrich und Garnier, Franz Xaver von;"Brugsch, Heinrich und Garnier, Franz Xaver von: Prinz Friedrich Karl im Morgenlande dargestellt von seinen Reisebegleitern Prof. Dr. H.  Brugsch und Major Fr. X. von Garnier. Frankfurt a. O. 1884, iv+240p, 11 plates and many illustrations in the text. 
";MS UB 49 Fol 72;2;2;0;;58;78;;0
508;Bruin, Cornelis de;"Bruin, Cornelis de: Reyzen van Corneliu de Bruyn door de vermaardste Deelen van Klein-Asia, die eylanden Scio, Rhodus, Cyprus enz. mitsgaders de voornamste steden van Aegypten, Syrien en Palestina. Verijkt met meer als 200 Kap. konst-plaaten... door den Autheur selfs na het leven afgetekend. Delft 1698, xx+398p. 
";Röhricht 1184     ;1;2;2;;49;99;;0
509;Bruin, Cornelis de;"Bruin, Cornelis de: Voyage au Levant, c'est à dire dans les Principaux endroits d'l'Asie-Mineure, dans les Isles de Chio, de Rhodes, de Chypre ect. De même que dans les plus considerables Villes d'Egypte de Syrie et de la Terre Sainte... Traduit du Flamand. Delft 1700,  408p. 
";Röhricht 1184     ;1;3;2;;49;99;;0
510;Bruin, Cornelis de;"Bruin, Cornelis de: A voyage to the Levant or travels in the principal parts of Asia Minor... and an account of the most considerable cities of Egypt, Syria, and the Holy Land translated by J. W. London 1702. 
";Röhricht 1184     ;1;3;1;;49;99;;0
511;Bruin, Corneille le;"Bruin, Corneille le: Voyage au Levant, c'est-à-dire, dans le principau endroits de l'Asie Mineure, dans les isles de Chio, Rhodes, & Chypre,  etc. de même que dans les plus considerables villes d'Égypte, de Syrie, et de la Terre Sainte; enrichi de plus de deux cens taillesdouces, où sont représentées les plus célèbres villes, païs, bourgs..  Paris 1714, x+408p.  1. Aufl: (in Niederländisch) Delft 1698. 
";Gen: GT 563 (II, 402;1;3;2;;49;99;;0
512;"Brun, Corneille de= Bruin
";"Brun, Corneille de= Bruin
";"";5;1;0;;255;0;;0
513;Brunet de Presle, W. u. Blanchet, A.;"Brunet de Presle, W. u. Blanchet, A.: Grèce depuis la conquête romaine jus'qu'à nos jours. 1860, 2 Bll. 589p. 
(= L'Univers I, 40)
";StadtBilb. Amberg;4;1;0;;255;0;;0
